carat,cut,color,clarity,depth,table,x,y,z,price_predict
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7376.806500310417
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1040.5892298134677
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2063.617466045387
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2499.1925048561025
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,780.6467549283552
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2571.7343579319277
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5759.912402726923
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,765.1912981865426
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3589.8028064023893
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4028.0528623578757
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1832.8282031389535
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5884.063587000719
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1029.430453049139
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5780.414079394994
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,789.0520332613232
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,110.49841790004575
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,724.8637715358636
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,675.1299279864834
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,299.6718847970369
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,578.2631056042956
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7366.863786399397
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6571.795734242169
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9248.567705528707
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1640.6520617255046
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,608.4602095063128
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4782.598944930009
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1742.8616609186465
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,6419.267836967158
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,8069.361832651421
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,374.64095663348417
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,2889.6706638967844
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,8227.142509457282
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-303.2072548269389
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,4313.910385413237
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5740.573178662629
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4657.595948781394
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1891.5025913643549
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,756.8961467661866
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3053.9691268334645
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1171.7134790446617
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,2081.053312953227
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7298.854193169107
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,370.8448242974446
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1966.2547182719536
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,7657.61367614347
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,505.0819397317646
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,366.3403723685042
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,629.7233060543804
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,5891.2598952342505
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,685.0378514704535
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,720.3993992032192
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3420.968774296867
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,114.01470384410277
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1339.457131039857
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1169.007791593005
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2037.642552511832
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,554.9801963471327
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,768.3757703566298
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,522.1679478395454
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4226.381018415428
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,3798.9338838582808
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2642.8968137638985
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,800.2939684706871
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3157.032111293629
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,2743.6213005036407
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4361.74111697276
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2941.2136758095476
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9204.41552123269
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9557.066603973693
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1145.1014338338864
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5292.028068577236
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17666.465945668042
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5641.907090872379
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,994.2304730980541
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2990.7474882297574
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5276.453357414761
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6430.7690681304975
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,6088.1162627129615
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2741.118599773148
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5255.964609906545
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9927.910741989579
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1050.454184692113
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1085.7285975350642
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,196.09793937044378
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,532.9850375014976
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2867.469938009832
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,754.5391405378177
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,6426.686434207024
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1603.8373581543783
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,6059.174259069652
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1328.9064849939932
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,280.30098639028074
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,792.6459435471843
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6174.26087832118
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,103.12877935083816
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1683.5350139837574
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9544.532258236055
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5241.523467583893
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,-7.963706893235212
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1035.3269591774624
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5699.075341391084
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,6371.063468930379
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,5492.764007011896
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,2744.5696973900267
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,569.1523413522809
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,6047.479323840871
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3318.97786988852
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1128.0039929303312
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,2017.6363825272056
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1734.666344577141
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,5450.6816619061065
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5248.701133499908
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5255.264485309117
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,2993.144700912606
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,5377.594704826639
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,566.8363355580441
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,7088.019979944285
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,713.258905248349
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5450.444183783378
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5364.051085627838
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,387.4104086231346
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,723.5670039239885
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2161.665512896976
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4314.468918811508
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3072.51428086494
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3628.7964820447487
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5606.615270990758
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3164.8931798420526
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1255.7524528049835
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,832.4940378650899
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10957.151290861533
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6527.737849112846
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1732.4259841597777
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,530.3789100962713
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,9569.642205532582
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,14512.153012615849
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,431.9935599089222
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,2368.953295993979
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,7141.814940217868
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,78.02457539674288
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2336.0634798617502
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4046.0153598720935
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,690.5194389060198
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,719.6104631919625
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,7413.370571396608
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9242.156311530443
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2264.3883599205983
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,521.2840740320571
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2035.0402917349093
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,5355.55897572697
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1593.9389708179988
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5499.8526415923425
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5937.200126514592
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6786.3336192594215
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,13713.198607707769
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,9696.5519769281
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13914.991840639212
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,-24.224347706513072
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,1847.6413365838162
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,2974.168673093067
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,16009.424848192495
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,2253.747635067648
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2161.3463993120386
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,7106.501378257777
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1627.9796710534029
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,10082.696904823317
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,2762.0106135453752
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9838.393014894473
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,5138.724609777353
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,9330.266522086291
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,2613.18806721245
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1096.210982605102
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,14009.119616732713
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,225.22990918226787
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1229.9959901413968
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3149.8241503425816
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,6800.709181165837
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5656.420321242154
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,2936.236902725399
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1724.2469046949482
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,5599.911420785114
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4504.293950880208
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3138.632376731857
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1947.5360605582246
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2556.3109393321356
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4365.373713420213
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5684.052690262135
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,4177.8349011921455
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6168.6383838496295
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2821.845769003892
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,5192.5023390044935
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,4362.962184299522
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,6004.509028243363
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14813.629524864147
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,635.3633066047951
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,4066.232740001018
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,2999.6730706625312
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,11638.811946473093
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3955.7925871062907
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,2663.6447375437965
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,936.2812268081652
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,737.5161325261215
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,616.7273064053152
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7511.854422686569
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,11128.149629165562
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5514.512753732204
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,874.7230071574813
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3190.5329417863904
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5506.690743927298
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,4534.7337388764445
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,682.7401439257992
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,607.775274025269
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2851.2793463217968
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,5064.212486404385
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,9175.149764937041
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,4381.119399780571
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,-487.6238028102671
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,33.6574297782754
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,656.000766355537
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,3242.4180976003554
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1016.8627015367892
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,626.7079862571336
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,4955.01420476629
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1705.7241972584525
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,11569.14029415436
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1464.5131793162836
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,2818.7481566912065
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1474.4076451161163
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,5119.904286512337
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,400.5316260951731
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,5144.57698791465
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7227.681252062212
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,5509.965084646108
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5743.401793657815
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3906.693950360728
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,1996.8635034933468
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3856.7832329209195
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,233.82182754325186
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3277.326953713804
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,7179.51069336151
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,9748.206101365362
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,7210.380350821453
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,3063.806874269725
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1843.00989973182
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1512.7459006974786
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1100.2170220243643
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,831.4191290794442
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,2230.598512294302
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2938.5736141053276
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9237.063458520213
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7820.388940801215
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5230.29047624295
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,984.1078001564856
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,967.732885402911
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,609.6141734340163
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,294.5450771688629
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6656.284262199104
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,751.1260427206362
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,649.5571596247173
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1328.8038158143645
0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,563.0057765945057
1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,10799.936713621413
1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7762.421224361133
1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,4815.221880025885
1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10210.977276184076
0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,1090.4977616478427
2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,17508.99443716877
1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5186.65375367235
0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,205.91872977351522
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,14333.262778702341
0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2722.183307221141
1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,5582.569894382081
1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,9787.969403557934
0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,814.3666083376447
1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,8913.026400283163
0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,431.982919283877
1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5874.366911816376
0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1336.0581844445842
1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,5187.446964951461
1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,9945.348255555617
1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5435.876603912575
2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,18829.120573602086
0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,2983.12641335015
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,4989.313627100195
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,529.0514172692638
1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,7168.584887855575
2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,16191.279293072537
0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,445.8096941979711
1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,9728.653770711018
0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,1594.93082965738
1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,11080.77558061414
2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,13691.042830207783
0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,612.1700193558754
0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,1671.7044110581737
0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,773.4043290563422
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,6651.905590338167
1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,9301.492769645336
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,489.8888233030739
0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,2727.543097782447
0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,1278.641330212893
0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,1870.2643852961992
